"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"E2","01","a","A1","B1","target","정형외과 진료실에서 의사가 무릎 통증으로 찾아온 70대 여성 환자에게 엑스레이 사진을 보여 주며 검사 결과와 주사 치료를 설명한다.","할머니, 무릎 연골이 또래보다 많이 닳으셨어요.","닳으셨어요","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(할머니)|무릎 연골|화자 자신|높이려는 대상이 없다","듣는 사람(할머니)","4","적격 — 간접 높임(주어 '무릎 연골' = 청자의 신체 부분)","A1=신체 부분(무릎 연골) / A2=가격·요금(주사 가격) / 장면=병원(정형외과, 서비스 발화) / 화계=해요체 / 서술어 닳다·오르다(모두 과거, 5음절 활용형) / 주어 음절 2·2 / 판정 근거: 연골은 청자의 신체 부분(간접 높임 허용). 가격은 주사(병원이 파는 치료)의 값으로 청자의 신체·속성이 아님 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","01","b","A1","B2","target","정형외과 진료실에서 의사가 무릎 통증으로 찾아온 70대 여성 환자에게 엑스레이 사진을 보여 주며 검사 결과와 주사 치료를 설명한다.","할머니, 무릎 연골이 또래보다 많이 닳았어요.","닳았어요","","","","1","덜 선호 — 간접 높임 생략(주어 '무릎 연골' = 청자의 신체 부분, 청자 높임은 해요체로 유지)","A1=신체 부분(무릎 연골) / A2=가격·요금(주사 가격) / 장면=병원(정형외과, 서비스 발화) / 화계=해요체 / 서술어 닳다·오르다(모두 과거, 5음절 활용형) / 주어 음절 2·2 / 판정 근거: 연골은 청자의 신체 부분(간접 높임 허용). 가격은 주사(병원이 파는 치료)의 값으로 청자의 신체·속성이 아님 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","01","c","A2","B1","target","정형외과 진료실에서 의사가 무릎 통증으로 찾아온 70대 여성 환자에게 엑스레이 사진을 보여 주며 검사 결과와 주사 치료를 설명한다.","할머니, 이 주사는 작년보다 가격이 많이 오르셨어요.","오르셨어요","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(할머니)|주사 가격|화자 자신|높이려는 대상이 없다","듣는 사람(할머니)","2","비표준 — 사물 높임(주어 '주사 가격' = 청자와 무관한 가격·요금)","A1=신체 부분(무릎 연골) / A2=가격·요금(주사 가격) / 장면=병원(정형외과, 서비스 발화) / 화계=해요체 / 서술어 닳다·오르다(모두 과거, 5음절 활용형) / 주어 음절 2·2 / 판정 근거: 연골은 청자의 신체 부분(간접 높임 허용). 가격은 주사(병원이 파는 치료)의 값으로 청자의 신체·속성이 아님 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","01","d","A2","B2","target","정형외과 진료실에서 의사가 무릎 통증으로 찾아온 70대 여성 환자에게 엑스레이 사진을 보여 주며 검사 결과와 주사 치료를 설명한다.","할머니, 이 주사는 작년보다 가격이 많이 올랐어요.","올랐어요","","","","3","적격 — 사물 주어에 -시- 없음(청자 높임은 해요체로 유지)","A1=신체 부분(무릎 연골) / A2=가격·요금(주사 가격) / 장면=병원(정형외과, 서비스 발화) / 화계=해요체 / 서술어 닳다·오르다(모두 과거, 5음절 활용형) / 주어 음절 2·2 / 판정 근거: 연골은 청자의 신체 부분(간접 높임 허용). 가격은 주사(병원이 파는 치료)의 값으로 청자의 신체·속성이 아님 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","02","a","A1","B1","target","아침 아홉 시, 대학원생이 연구실에 들어서다가 전날 밤늦게까지 원고를 고친 지도교수와 마주쳐 말한다. 이날은 연구동 건물 문이 평소보다 늦게 열렸다.","교수님, 오늘은 평소보다 눈이 많이 부으셨어요.","부으셨어요","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(교수님)|눈|화자 자신|높이려는 대상이 없다","듣는 사람(교수님)","3","적격 — 간접 높임(주어 '눈' = 청자의 신체 부분)","A1=신체 부분(눈) / A2=시설·장소(건물 문) / 장면=연구실(대학, 비서비스) / 화계=해요체 / 서술어 붓다·열리다(모두 과거, 5음절 활용형) / 주어 음절 1·1 / 판정 근거: 눈은 청자의 신체 부분. 연구동 건물 문은 학교 시설로 청자와 무관 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","02","b","A1","B2","target","아침 아홉 시, 대학원생이 연구실에 들어서다가 전날 밤늦게까지 원고를 고친 지도교수와 마주쳐 말한다. 이날은 연구동 건물 문이 평소보다 늦게 열렸다.","교수님, 오늘은 평소보다 눈이 많이 부었어요.","부었어요","","","","4","덜 선호 — 간접 높임 생략(주어 '눈' = 청자의 신체 부분, 청자 높임은 해요체로 유지)","A1=신체 부분(눈) / A2=시설·장소(건물 문) / 장면=연구실(대학, 비서비스) / 화계=해요체 / 서술어 붓다·열리다(모두 과거, 5음절 활용형) / 주어 음절 1·1 / 판정 근거: 눈은 청자의 신체 부분. 연구동 건물 문은 학교 시설로 청자와 무관 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","02","c","A2","B1","target","아침 아홉 시, 대학원생이 연구실에 들어서다가 전날 밤늦게까지 원고를 고친 지도교수와 마주쳐 말한다. 이날은 연구동 건물 문이 평소보다 늦게 열렸다.","교수님, 오늘은 평소보다 건물 문이 늦게 열리셨어요.","열리셨어요","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(교수님)|건물 문|화자 자신|높이려는 대상이 없다","듣는 사람(교수님)","1","비표준 — 사물 높임(주어 '건물 문' = 청자와 무관한 시설·장소)","A1=신체 부분(눈) / A2=시설·장소(건물 문) / 장면=연구실(대학, 비서비스) / 화계=해요체 / 서술어 붓다·열리다(모두 과거, 5음절 활용형) / 주어 음절 1·1 / 판정 근거: 눈은 청자의 신체 부분. 연구동 건물 문은 학교 시설로 청자와 무관 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","02","d","A2","B2","target","아침 아홉 시, 대학원생이 연구실에 들어서다가 전날 밤늦게까지 원고를 고친 지도교수와 마주쳐 말한다. 이날은 연구동 건물 문이 평소보다 늦게 열렸다.","교수님, 오늘은 평소보다 건물 문이 늦게 열렸어요.","열렸어요","","","","2","적격 — 사물 주어에 -시- 없음(청자 높임은 해요체로 유지)","A1=신체 부분(눈) / A2=시설·장소(건물 문) / 장면=연구실(대학, 비서비스) / 화계=해요체 / 서술어 붓다·열리다(모두 과거, 5음절 활용형) / 주어 음절 1·1 / 판정 근거: 눈은 청자의 신체 부분. 연구동 건물 문은 학교 시설로 청자와 무관 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","03","a","A1","B1","target","미용실에서 미용사가 머리를 자르러 온 50대 남성 단골의 머리를 감겨 주며 말한다. 가게 안에는 온풍기가 계속 돌아가고 있다.","손님, 날씨 탓인지 요즘 두피가 많이 건조하세요.","건조하세요","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(손님)|두피|화자 자신|높이려는 대상이 없다","듣는 사람(손님)","2","적격 — 간접 높임(주어 '두피' = 청자의 신체 부분)","A1=신체 부분(두피) / A2=시설·장소(실내) / 장면=미용실(가게, 서비스 발화) / 화계=해요체 / 서술어 건조하다(A1·A2 같은 서술어) / 주어 음절 2·2 / 판정 근거: 두피는 청자의 신체 부분. 실내는 미용실 공간으로 청자와 무관 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","03","b","A1","B2","target","미용실에서 미용사가 머리를 자르러 온 50대 남성 단골의 머리를 감겨 주며 말한다. 가게 안에는 온풍기가 계속 돌아가고 있다.","손님, 날씨 탓인지 요즘 두피가 많이 건조해요.","건조해요","","","","3","덜 선호 — 간접 높임 생략(주어 '두피' = 청자의 신체 부분, 청자 높임은 해요체로 유지)","A1=신체 부분(두피) / A2=시설·장소(실내) / 장면=미용실(가게, 서비스 발화) / 화계=해요체 / 서술어 건조하다(A1·A2 같은 서술어) / 주어 음절 2·2 / 판정 근거: 두피는 청자의 신체 부분. 실내는 미용실 공간으로 청자와 무관 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","03","c","A2","B1","target","미용실에서 미용사가 머리를 자르러 온 50대 남성 단골의 머리를 감겨 주며 말한다. 가게 안에는 온풍기가 계속 돌아가고 있다.","손님, 난방 탓인지 요즘 실내가 많이 건조하세요.","건조하세요","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(손님)|실내|화자 자신|높이려는 대상이 없다","듣는 사람(손님)","4","비표준 — 사물 높임(주어 '실내' = 청자와 무관한 시설·장소)","A1=신체 부분(두피) / A2=시설·장소(실내) / 장면=미용실(가게, 서비스 발화) / 화계=해요체 / 서술어 건조하다(A1·A2 같은 서술어) / 주어 음절 2·2 / 판정 근거: 두피는 청자의 신체 부분. 실내는 미용실 공간으로 청자와 무관 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","03","d","A2","B2","target","미용실에서 미용사가 머리를 자르러 온 50대 남성 단골의 머리를 감겨 주며 말한다. 가게 안에는 온풍기가 계속 돌아가고 있다.","손님, 난방 탓인지 요즘 실내가 많이 건조해요.","건조해요","","","","1","적격 — 사물 주어에 -시- 없음(청자 높임은 해요체로 유지)","A1=신체 부분(두피) / A2=시설·장소(실내) / 장면=미용실(가게, 서비스 발화) / 화계=해요체 / 서술어 건조하다(A1·A2 같은 서술어) / 주어 음절 2·2 / 판정 근거: 두피는 청자의 신체 부분. 실내는 미용실 공간으로 청자와 무관 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","04","a","A1","B1","target","겨울 저녁, 대학생 손자가 외할아버지 옆에 앉아 할아버지의 손을 잡은 채 함께 텔레비전 홈쇼핑 방송을 보며 말한다. 방송에서는 귤을 팔고 있다.","할아버지, 오늘은 손이 평소보다 훨씬 차가우세요.","차가우세요","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(할아버지)|손|화자 자신|높이려는 대상이 없다","듣는 사람(할아버지)","1","적격 — 간접 높임(주어 '손' = 청자의 신체 부분)","A1=신체 부분(손) / A2=상품·음식(귤 알) / 장면=가정(비서비스) / 화계=해요체 / 서술어 차갑다·크다(모두 현재, 기초 형용사) / 주어 음절 1·1 / 판정 근거: 손은 청자의 신체 부분. 귤 알은 방송에서 파는 상품의 크기로 청자와 무관(주제어 '저 귤'도 판매 상품) | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","04","b","A1","B2","target","겨울 저녁, 대학생 손자가 외할아버지 옆에 앉아 할아버지의 손을 잡은 채 함께 텔레비전 홈쇼핑 방송을 보며 말한다. 방송에서는 귤을 팔고 있다.","할아버지, 오늘은 손이 평소보다 훨씬 차가워요.","차가워요","","","","2","덜 선호 — 간접 높임 생략(주어 '손' = 청자의 신체 부분, 청자 높임은 해요체로 유지)","A1=신체 부분(손) / A2=상품·음식(귤 알) / 장면=가정(비서비스) / 화계=해요체 / 서술어 차갑다·크다(모두 현재, 기초 형용사) / 주어 음절 1·1 / 판정 근거: 손은 청자의 신체 부분. 귤 알은 방송에서 파는 상품의 크기로 청자와 무관(주제어 '저 귤'도 판매 상품) | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","04","c","A2","B1","target","겨울 저녁, 대학생 손자가 외할아버지 옆에 앉아 할아버지의 손을 잡은 채 함께 텔레비전 홈쇼핑 방송을 보며 말한다. 방송에서는 귤을 팔고 있다.","할아버지, 저 귤은 생각보다 알이 훨씬 크세요.","크세요","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(할아버지)|귤 알|화자 자신|높이려는 대상이 없다","듣는 사람(할아버지)","3","비표준 — 사물 높임(주어 '귤 알' = 청자와 무관한 상품·음식)","A1=신체 부분(손) / A2=상품·음식(귤 알) / 장면=가정(비서비스) / 화계=해요체 / 서술어 차갑다·크다(모두 현재, 기초 형용사) / 주어 음절 1·1 / 판정 근거: 손은 청자의 신체 부분. 귤 알은 방송에서 파는 상품의 크기로 청자와 무관(주제어 '저 귤'도 판매 상품) | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","04","d","A2","B2","target","겨울 저녁, 대학생 손자가 외할아버지 옆에 앉아 할아버지의 손을 잡은 채 함께 텔레비전 홈쇼핑 방송을 보며 말한다. 방송에서는 귤을 팔고 있다.","할아버지, 저 귤은 생각보다 알이 훨씬 커요.","커요","","","","4","적격 — 사물 주어에 -시- 없음(청자 높임은 해요체로 유지)","A1=신체 부분(손) / A2=상품·음식(귤 알) / 장면=가정(비서비스) / 화계=해요체 / 서술어 차갑다·크다(모두 현재, 기초 형용사) / 주어 음절 1·1 / 판정 근거: 손은 청자의 신체 부분. 귤 알은 방송에서 파는 상품의 크기로 청자와 무관(주제어 '저 귤'도 판매 상품) | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","05","a","A1","B1","target","백화점 화장품 매장에서 직원이 50대 여성 고객의 피부 상태를 측정기로 확인한 뒤, 새로 나온 크림을 소개하며 말한다.","고객님, 측정해 보니 피부가 꽤 예민하십니다.","예민하십니다","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(고객님)|피부|화자 자신|높이려는 대상이 없다","듣는 사람(고객님)","4","적격 — 간접 높임(주어 '피부' = 청자의 신체 부분)","A1=신체 부분(피부) / A2=상품·음식(크림) / 장면=백화점 화장품 매장(가게, 서비스 발화) / 화계=합쇼체 / 서술어 예민하다·순하다(모두 현재, 피부 관련 형용사) / 주어 음절 2·2 / 판정 근거: 피부는 청자의 신체 부분. 크림은 매장이 파는 신제품으로 청자 소유가 아님 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","05","b","A1","B2","target","백화점 화장품 매장에서 직원이 50대 여성 고객의 피부 상태를 측정기로 확인한 뒤, 새로 나온 크림을 소개하며 말한다.","고객님, 측정해 보니 피부가 꽤 예민합니다.","예민합니다","","","","1","덜 선호 — 간접 높임 생략(주어 '피부' = 청자의 신체 부분, 청자 높임은 합쇼체로 유지)","A1=신체 부분(피부) / A2=상품·음식(크림) / 장면=백화점 화장품 매장(가게, 서비스 발화) / 화계=합쇼체 / 서술어 예민하다·순하다(모두 현재, 피부 관련 형용사) / 주어 음절 2·2 / 판정 근거: 피부는 청자의 신체 부분. 크림은 매장이 파는 신제품으로 청자 소유가 아님 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
"E2","05","c","A2","B1","target","백화점 화장품 매장에서 직원이 50대 여성 고객의 피부 상태를 측정기로 확인한 뒤, 새로 나온 크림을 소개하며 말한다.","고객님, 이번에 나온 크림은 꽤 순하십니다.","순하십니다","이 말에서 화자가 '-시-'로 높이려는 대상은 누구입니까?","듣는 사람(고객님)|크림|화자 자신|높이려는 대상이 없다","듣는 사람(고객님)","2","비표준 — 사물 높임(주어 '크림' = 청자와 무관한 상품·음식)","A1=신체 부분(피부) / A2=상품·음식(크림) / 장면=백화점 화장품 매장(가게, 서비스 발화) / 화계=합쇼체 / 서술어 예민하다·순하다(모두 현재, 피부 관련 형용사) / 주어 음절 2·2 / 판정 근거: 피부는 청자의 신체 부분. 크림은 매장이 파는 신제품으로 청자 소유가 아님 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 비표준·d 적격)"
