"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"E1","01","a","A1","B1","target","화자는 스물세 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 할머니(일흔두 살, 같은 동네에 산다)이다.","요즘 동네 스포츠 센터에서 일주일에 두 번씩 수영을 배우셔.","배우셔","이야기 속 인물은 화자에게 어떤 사람입니까?","할머니|여동생|할아버지|친구","할머니","4","적격: 높임 대상 주어에 -시-","A1 유형 조부모(할머니) / A2 유형 동생(여동생); 서술어 배우다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","01","b","A1","B2","target","화자는 스물세 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 할머니(일흔두 살, 같은 동네에 산다)이다.","요즘 동네 스포츠 센터에서 일주일에 두 번씩 수영을 배워.","배워","이야기 속 인물은 화자에게 어떤 사람입니까?","할머니|여동생|할아버지|친구","할머니","1","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 조부모(할머니) / A2 유형 동생(여동생); 서술어 배우다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","01","c","A2","B1","target","화자는 스물세 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 여동생(열일곱 살, 고등학교 2학년)이다.","요즘 동네 스포츠 센터에서 일주일에 두 번씩 수영을 배우셔.","배우셔","이야기 속 인물은 화자에게 어떤 사람입니까?","여동생|할머니|남동생|친구","여동생","2","부적격: 비높임 대상 주어에 -시-","A1 유형 조부모(할머니) / A2 유형 동생(여동생); 서술어 배우다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","01","d","A2","B2","target","화자는 스물세 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 여동생(열일곱 살, 고등학교 2학년)이다.","요즘 동네 스포츠 센터에서 일주일에 두 번씩 수영을 배워.","배워","이야기 속 인물은 화자에게 어떤 사람입니까?","여동생|할머니|남동생|친구","여동생","3","적격: 비높임 대상 주어에 -시- 없음","A1 유형 조부모(할머니) / A2 유형 동생(여동생); 서술어 배우다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","02","a","A1","B1","target","화자는 스물두 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 아버지(쉰여섯 살, 회사원)이다.","지난주에 삼 년 된 휴대폰을 드디어 최신 스마트폰으로 바꾸셨어.","바꾸셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","아버지|과 후배|어머니|친구","아버지","3","적격: 높임 대상 주어에 -시-","A1 유형 부모·친척 어른(아버지) / A2 유형 후배(과 후배); 서술어 바꾸다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 인간검수필요: 부모 세트. 『표준 언어 예절』(2011) 154쪽은 남에게 부모를 말할 때 낮추는 것을 전통 어법에 어긋난다고 하여 b가 규범상 '덜 선호'보다 무거울 수 있으나, 20대가 친구에게 부모 이야기를 할 때는 -시- 생략이 매우 흔함(규범·사용 괴리, 세대 차 예상) — b 수용성 천장 여부와 판정 표현을 인간 검수자가 확인"
"E1","02","b","A1","B2","target","화자는 스물두 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 아버지(쉰여섯 살, 회사원)이다.","지난주에 삼 년 된 휴대폰을 드디어 최신 스마트폰으로 바꿨어.","바꿨어","이야기 속 인물은 화자에게 어떤 사람입니까?","아버지|과 후배|어머니|친구","아버지","4","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 부모·친척 어른(아버지) / A2 유형 후배(과 후배); 서술어 바꾸다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 인간검수필요: 부모 세트. 『표준 언어 예절』(2011) 154쪽은 남에게 부모를 말할 때 낮추는 것을 전통 어법에 어긋난다고 하여 b가 규범상 '덜 선호'보다 무거울 수 있으나, 20대가 친구에게 부모 이야기를 할 때는 -시- 생략이 매우 흔함(규범·사용 괴리, 세대 차 예상) — b 수용성 천장 여부와 판정 표현을 인간 검수자가 확인"
"E1","02","c","A2","B1","target","화자는 스물두 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 과 후배(스물한 살, 대학교 2학년)이다.","지난주에 삼 년 된 휴대폰을 드디어 최신 스마트폰으로 바꾸셨어.","바꾸셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","과 후배|아버지|동아리 후배|친구","과 후배","1","부적격: 비높임 대상 주어에 -시-","A1 유형 부모·친척 어른(아버지) / A2 유형 후배(과 후배); 서술어 바꾸다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 인간검수필요: 부모 세트. 『표준 언어 예절』(2011) 154쪽은 남에게 부모를 말할 때 낮추는 것을 전통 어법에 어긋난다고 하여 b가 규범상 '덜 선호'보다 무거울 수 있으나, 20대가 친구에게 부모 이야기를 할 때는 -시- 생략이 매우 흔함(규범·사용 괴리, 세대 차 예상) — b 수용성 천장 여부와 판정 표현을 인간 검수자가 확인"
"E1","02","d","A2","B2","target","화자는 스물두 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 과 후배(스물한 살, 대학교 2학년)이다.","지난주에 삼 년 된 휴대폰을 드디어 최신 스마트폰으로 바꿨어.","바꿨어","이야기 속 인물은 화자에게 어떤 사람입니까?","과 후배|아버지|동아리 후배|친구","과 후배","2","적격: 비높임 대상 주어에 -시- 없음","A1 유형 부모·친척 어른(아버지) / A2 유형 후배(과 후배); 서술어 바꾸다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 인간검수필요: 부모 세트. 『표준 언어 예절』(2011) 154쪽은 남에게 부모를 말할 때 낮추는 것을 전통 어법에 어긋난다고 하여 b가 규범상 '덜 선호'보다 무거울 수 있으나, 20대가 친구에게 부모 이야기를 할 때는 -시- 생략이 매우 흔함(규범·사용 괴리, 세대 차 예상) — b 수용성 천장 여부와 판정 표현을 인간 검수자가 확인"
"E1","03","a","A1","B1","target","화자는 스물한 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 전공 교수(마흔여섯 살, 화자의 전공 수업을 맡고 있다)이다.","지난주에 시에서 연 풍경 사진 공모전에서 대상을 받으셨어.","받으셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","전공 교수|사촌 동생|중학교 은사|친구","전공 교수","2","적격: 높임 대상 주어에 -시-","A1 유형 은사·교수(전공 교수) / A2 유형 조카·사촌 동생(사촌 동생); 서술어 받다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","03","b","A1","B2","target","화자는 스물한 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 전공 교수(마흔여섯 살, 화자의 전공 수업을 맡고 있다)이다.","지난주에 시에서 연 풍경 사진 공모전에서 대상을 받았어.","받았어","이야기 속 인물은 화자에게 어떤 사람입니까?","전공 교수|사촌 동생|중학교 은사|친구","전공 교수","3","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 은사·교수(전공 교수) / A2 유형 조카·사촌 동생(사촌 동생); 서술어 받다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
