"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"F","01","f","","","filler","화자는 대학 친구와 학교 식당에서 점심을 먹으며 이야기하고 있다.","나 어제 동생이랑 영화 보러 갈 거야.","갈 거야","화자는 지금 어디에 있는가?","학교 식당|카페|도서관|영화관","학교 식당","","부적격 — 기대 1–2","주의점검:비문; 유형: 시제 부조화(과거 시간 부사 '어제' + 미래 '-ㄹ 거야'); 경어 무관(청자 친구, 해체) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","02","f","","","filler","화자는 친구와 새로 개봉한 영화 이야기를 하고 있다.","나 이번 주말에 그 영화 꼭 싶어 보고.","싶어 보고","","","","","부적격 — 기대 1–2","주의점검:비문; 유형: 어순 파괴(보조 용언 '싶다'가 본용언 앞에 옴, '보고 싶어'가 맞음); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","03","f","","","filler","화자는 회사원이다. 듣는 사람은 화자와 같은 해에 입사한 다른 팀 동료로, 두 사람은 아직 서로 말을 놓지 않았다.","저는 다음 주에 부산으로 출장을 다녀왔어요.","다녀왔어요","","","","","부적격 — 기대 1–2","주의점검:비문; 유형: 시제 부조화(미래 시간 부사 '다음 주에' + 과거 '-었-'); 경어는 정확(동료에게 해요체·'저') | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","04","f","","","filler","화자는 친구와 이야기하고 있다. 이야기 속 인물은 화자의 중학교 동창이다.","중학교 동창을 어제 밤늦게 나를 전화했어.","동창을 나를","","","","","부적격 — 기대 1–2","주의점검:비문; 유형: 격 조사 오류 두 곳(주어에 '을', 여격 자리에 '를'; '동창이 … 나한테'가 맞음); 경어 무관(동갑 동창) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","05","f","","","filler","화자는 퇴근길에 언니와 통화하고 있다.","나 주말에 백화점에서 새 샀어 운동화 한 켤레.","새 샀어","화자는 누구와 통화하고 있는가?","친구|언니|직장 동료|어머니","언니","","부적격 — 기대 1–2","주의점검:비문; 유형: 어순 파괴(관형사 '새'가 꾸밀 명사와 떨어져 동사 앞에 옴); 경어 무관(언니에게 해체는 가족 간 일반적) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","06","f","","","filler","화자는 대학 축제를 앞두고 같은 동아리 친구와 이야기하고 있다.","이번 축제에서 우리 동아리를 공연이 해.","동아리를 공연이","","","","","부적격 — 기대 1–2","주의점검:비문; 유형: 격 조사 뒤바뀜(주어에 '를', 목적어에 '이'; '동아리가 공연을'이 맞음); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","07","f","","","filler","화자는 어제 간 분식집 이야기를 친구에게 하고 있다.","거기 떡볶이 생각보다 너무 맵았어.","맵았어","","","","","부적격 — 기대 1–3","유형: 불규칙 활용 오류(ㅂ 불규칙 '맵다'는 '매웠어'); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","08","f","","","filler","화자는 기숙사 룸메이트와 이야기하고 있다.","나 그 드라마 별로 재미있어서 끝까지 다 봤어.","별로","화자가 이야기하고 있는 사람은 누구인가?","같은 과 친구|기숙사 룸메이트|동생|직장 동료","기숙사 룸메이트","","부적격 — 기대 1–3","유형: 부정 극어 호응 오류('별로'는 부정문과만 어울림); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","09","f","","","filler","화자는 같은 과 친구와 수업이 끝난 뒤 이야기하고 있다.","우리 어제 학교 앞에서 같이 칼국수 먹자.","먹자","","","","","부적격 — 기대 1–3","유형: 서법·시간 부조화(청유형 '-자' + 과거 시간 부사 '어제'); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","10","f","","","filler","화자는 동네 빵집 직원이고, 듣는 사람은 빵을 사러 온 손님이다.","크림빵을 오늘은 벌써 다 팔렸어요.","크림빵을","화자는 어디에서 일하는가?","편의점|카페|빵집|떡집","빵집","","부적격 — 기대 1–3","유형: 격 조사 오류(피동사 '팔리다'의 주어에 목적격 '을'); 경어는 정확(손님에게 해요체) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
