"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"E4","01","b1","","B1","violation","화자는 대학 친구와 카페에서 이야기하고 있다. 이야기 속 인물은 화자의 여동생으로, 올해 고등학교 2학년이다.","여동생이 이번 겨울 방학에 머리를 짧게 자르셨어.","자르셨어","","","","","부적격(형태)","B1 형태 위반; 지시체 여동생(고2), 청자 친구, 해체. 위반 요소 -시-(자르셨어→잘랐어). 근거: 화자보다 어린 지시체는 주체 높임 대상이 아니므로 -시- 부적격. 서술어는 보충법 높임 어휘가 없는 규칙 동사"
"E4","01","b1","","B1","control","화자는 대학 친구와 카페에서 이야기하고 있다. 이야기 속 인물은 화자의 여동생으로, 올해 고등학교 2학년이다.","여동생이 이번 겨울 방학에 머리를 짧게 잘랐어.","잘랐어","","","","","적격","B1 적격 짝; 위반 행에서 -시-만 뺌(잘랐어). 해체·어린 지시체·-시- 없음으로 규범에 맞음"
"E4","02","b1","","B1","violation","화자는 고등학교 동창과 전화로 이야기하고 있다. 이야기 속 인물은 화자의 남동생으로, 화자보다 네 살 어리다.","남동생이 어제 내 노트북을 바닥에 떨어뜨리셨어.","떨어뜨리셨어","","","","","부적격(형태)","B1 형태 위반; 지시체 남동생(화자보다 네 살 아래), 청자 친구, 해체. 위반 요소 -시-(떨어뜨리셨어→떨어뜨렸어). 근거: 화자보다 어린 지시체는 주체 높임 대상이 아니므로 -시- 부적격. 서술어는 보충법 높임 어휘가 없는 규칙 동사"
"E4","02","b1","","B1","control","화자는 고등학교 동창과 전화로 이야기하고 있다. 이야기 속 인물은 화자의 남동생으로, 화자보다 네 살 어리다.","남동생이 어제 내 노트북을 바닥에 떨어뜨렸어.","떨어뜨렸어","","","","","적격","B1 적격 짝; 위반 행에서 -시-만 뺌(떨어뜨렸어). 해체·어린 지시체·-시- 없음으로 규범에 맞음"
"E4","03","b1","","B1","violation","화자는 친한 친구와 점심을 먹으며 이야기하고 있다. 이야기 속 인물은 화자의 조카로, 올해 일곱 살이다.","조카가 요즘 저녁마다 아파트 놀이터에서 줄넘기를 연습하셔.","연습하셔","","","","","부적격(형태)","B1 형태 위반; 지시체 조카(7세), 청자 친구, 해체. 위반 요소 -시-(연습하셔→연습해). 근거: 화자보다 어린 지시체는 주체 높임 대상이 아니므로 -시- 부적격. 서술어는 보충법 높임 어휘가 없는 규칙 동사"
"E4","03","b1","","B1","control","화자는 친한 친구와 점심을 먹으며 이야기하고 있다. 이야기 속 인물은 화자의 조카로, 올해 일곱 살이다.","조카가 요즘 저녁마다 아파트 놀이터에서 줄넘기를 연습해.","연습해","","","","","적격","B1 적격 짝; 위반 행에서 -시-만 뺌(연습해). 해체·어린 지시체·-시- 없음으로 규범에 맞음"
"E4","04","b1","","B1","violation","화자는 동네 친구와 커피를 마시며 이야기하고 있다. 이야기 속 인물은 화자의 조카로, 초등학교 3학년이다.","조카가 방학 동안 우리 집 강아지를 매일 산책시키셨어.","산책시키셨어","","","","","부적격(형태)","B1 형태 위반; 지시체 조카(초3), 청자 친구, 해체. 위반 요소 -시-(산책시키셨어→산책시켰어). 근거: 화자보다 어린 지시체는 주체 높임 대상이 아니므로 -시- 부적격. 서술어는 보충법 높임 어휘가 없는 규칙 동사"
"E4","04","b1","","B1","control","화자는 동네 친구와 커피를 마시며 이야기하고 있다. 이야기 속 인물은 화자의 조카로, 초등학교 3학년이다.","조카가 방학 동안 우리 집 강아지를 매일 산책시켰어.","산책시켰어","","","","","적격","B1 적격 짝; 위반 행에서 -시-만 뺌(산책시켰어). 해체·어린 지시체·-시- 없음으로 규범에 맞음"
"E4","05","b1","","B1","violation","화자는 대학 동기와 이야기하고 있다. 이야기 속 인물은 화자의 사촌 동생으로, 올해 대학교 2학년이다.","사촌 동생이 요즘 학교 앞 빵집에서 아르바이트를 하셔.","하셔","","","","","부적격(형태)","B1 형태 위반; 지시체 사촌 동생(대학 2학년), 청자 친구, 해체. 위반 요소 -시-(하셔→해). 근거: 화자보다 어린 지시체는 주체 높임 대상이 아니므로 -시- 부적격. 서술어는 보충법 높임 어휘가 없는 규칙 동사"
"E4","05","b1","","B1","control","화자는 대학 동기와 이야기하고 있다. 이야기 속 인물은 화자의 사촌 동생으로, 올해 대학교 2학년이다.","사촌 동생이 요즘 학교 앞 빵집에서 아르바이트를 해.","해","","","","","적격","B1 적격 짝; 위반 행에서 -시-만 뺌(해). 해체·어린 지시체·-시- 없음으로 규범에 맞음"
